SOURCE,SOURCEID,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,CAPACITY,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,URL,NAME2,NAME3,FORMERNM,STARTDATE,COMPLAINTS,ORDERS,COMPLAINT_ORDER_FACTOR,SOURCE_SYSTEM
Sterling Commerce,SCC_1695,49,71,SOLDIER FIELD,1410 SOUTH MUSEUM CAMPUS DRIVE,CHICAGO,IL,60605,,(312) 235-7000,SINGLE USE,OPEN,61500,COOK,27031,USA,41.8623573,-87.61669859,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.soldierfield.net/,,,,2019-11-01,1,3,67,Salesforce
Sterling Commerce,SCC_4940,50,73,BANK OF AMERICA STADIUM,800 SOUTH MINT STREET,CHARLOTTE,NC,28202,,(704) 358-7000,SINGLE USE,OPEN,75525,MECKLENBURG,37119,USA,35.22581,-80.85282,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.panthers.com/stadium/index.html,,,,2018-10-01,1,5,40,Salesforce
Sterling Commerce,SCC_1578,52,392,MERCEDES-BENZ SUPERDOME,1500 SUGAR BOWL DRIVE,NEW ORLEANS,LA,70112,1255,(504) 587-3663,SINGLE USE,OPEN,76468,ORLEANS,22071,USA,29.95105291,-90.08131568,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.superdome.com/,,,LOUISIANA SUPERDOME,2017-11-01,1,3,67,Salesforce
Sterling Commerce,SCC_4851,53,400,RAYMOND JAMES STADIUM,4201 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33607,6103,(813) 350-6500,MULTIUSE,OPEN,65890,HILLSBOROUGH,12057,USA,27.97593,-82.5033,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://raymondjamesstadium.com/,,,,2011-09-01,1,4,50,Salesforce
Sterling Commerce,SCC_3738,54,365,CENTURYLINK FIELD,800 OCCIDENTAL AVENUE SOUTH,SEATTLE,WA,98134,1200,(206) 381-7555,MULTIUSE,OPEN,72000,KING,53033,USA,47.59517049,-122.3315619,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.centurylinkfield.com/,,,QWEST FIELD,2013-06-01,1,4,50,Salesforce
Sterling Commerce,SCC_1937,56,81,CENTENNIAL BANK STADIUM,2180 AGGIE ROAD,JONESBORO,AR,72401,,(870) 934-9000,SINGLE USE,OPEN,30406,CRAIGHEAD,5031,USA,35.84893,-90.6672,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.astateredwolves.com/ViewArticle.dbml?ATCLID=207063,,,ASU STADIUM,2018-04-01,1,4,50,Salesforce
Sterling Commerce,SCC_2911,60,86,LOS ANGELES MEMORIAL COLISEUM,3911 SOUTH FIGUEROA STREET,LOS ANGELES,CA,90037,,(213) 747-7111,MULTIUSE,OPEN,92348,LOS ANGELES,6037,USA,34.01406091,-118.2879585,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.lacoliseum.com/,,,,2017-01-01,1,5,40,Salesforce
Sterling Commerce,SCC_1632,64,90,SPARTAN STADIUM (CALIFORNIA),1350 SOUTH 7TH STREET,SAN JOSE,CA,95112,,(408) 924-7589,SINGLE USE,OPEN,30456,SANTA CLARA,6085,USA,37.31972,-121.86829,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.sjsuspartans.com/facilities/sjsu-facilities.html#stadium,,,,2011-06-01,1,3,67,Salesforce
Sterling Commerce,SCC_1845,65,91,FOLSOM FIELD,2400 COLORADO AVE,BOULDER,CO,80302,,(303) 492-8900,SINGLE USE,OPEN,50183,BOULDER,8013,USA,40.00947,-105.2669,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://cubuffs.com/facilities/?id=1,,,,2014-06-01,1,4,50,Salesforce
Sterling Commerce,SCC_2438,69,95,BOBBY BOWDEN FIELD AT DOAK CAMPBELL STADIUM,403 STADIUM DRIVE,TALLAHASSEE,FL,32304,,(850) 645-1318,SINGLE USE,OPEN,79560,LEON,48289,USA,30.43817,-84.30439,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://seminoles.com/sports/football/facilities/bobby-bowden-field-at-doak-s-campbell-stadium/,,,DOAK CAMPBELL STADIUM,2019-07-01,1,3,67,Salesforce
Sterling Commerce,SCC_3674,73,100,SANFORD STADIUM,SANFORD DRIVE AND FIELD STREET,ATHENS,GA,30605,,(706) 542-9036,SINGLE USE,OPEN,92746,CLARKE,19039,USA,33.94980281,-83.37338835,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://georgiadogs.com/sports/2017/6/16/sanford-stadium.aspx,,,,2017-01-01,1,5,40,Salesforce
Sterling Commerce,SCC_1126,77,104,ALBERTSONS STADIUM,1400 BRONCO LANE,BOISE,ID,83706,,(208) 426-4737,SINGLE USE,OPEN,36387,ADA,16001,USA,43.60283,-116.19586,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://broncosports.com/facilities/?id=1,,,BRONCO STADIUM,2015-03-01,1,4,50,Salesforce
Sterling Commerce,SCC_3954,79,106,MEMORIAL STADIUM (ILLINOIS),1402 S 1ST ST,CHAMPAIGN,IL,61820,,(217) 333-1400,SINGLE USE,OPEN,60670,CHAMPAIGN,17019,USA,40.09934272,-88.23595593,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://fightingillini.com/sports/2015/3/24/memorialstadium.aspx,,,,2012-03-01,1,5,40,Salesforce
Sterling Commerce,SCC_2683,85,112,DONALD W. REYNOLDS RAZORBACK STADIUM,350 N RAZORBACK RD,FAYETTEVILLE,AR,72701,,(479) 575-7641,SINGLE USE,OPEN,72000,WASHINGTON,48477,USA,36.06809,-94.17894,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://arkansasrazorbacks.com/page/donald-w-reynolds-razorback-stadium,,,,2013-06-01,1,5,40,Salesforce
Sterling Commerce,SCC_3767,87,114,HUSKIE STADIUM,1245 STADIUM DRIVE SOUTH,DEKALB,IL,60115,,(815) 243-1824,SINGLE USE,OPEN,24000,DEKALB,29063,USA,41.93395,-88.77781,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://niuhuskies.com/facilities/?id=6,BRIGHAM FIELD AT HUSKIE STADIUM,,,2018-06-01,1,5,40,Salesforce
Sterling Commerce,SCC_4436,92,119,DAVID BOOTH KANSAS MEMORIAL STADIUM,1017 WEST 11TH STREET,LAWRENCE,KS,66044,,(785) 864-3141,SINGLE USE,OPEN,50071,DOUGLAS,32005,USA,38.96304652,-95.24633851,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://kuathletics.com/sports/2013/6/27/facilities-memorial-stadium.aspx?id=201,,,MEMORIAL STADIUM,2010-06-01,1,5,40,Salesforce
Sterling Commerce,SCC_3380,96,124,TIGER STADIUM,WEST STADIUM ROAD,BATON ROUGE,LA,70802,,(225) 578-2184,SINGLE USE,OPEN,102321,EAST BATON ROUGE,22033,USA,30.41203,-91.1838,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.lsusports.net/ViewArticle.dbml?ATCLID=177159,DEATH VALLEY,,,2018-03-01,1,3,67,Salesforce
Sterling Commerce,SCC_2680,97,125,CAJUN FIELD,2351 W CONGRESS STREET,LAFAYETTE,LA,70506,,(337) 265-2100,SINGLE USE,OPEN,41426,LAFAYETTE,22055,USA,30.21586,-92.04171,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.ragincajuns.com/sports/2012/8/14/Cajun%20Field.aspx?id=504,THE SWAMP,,,2017-09-01,1,3,67,Salesforce
Sterling Commerce,SCC_3296,103,131,MICHIGAN STADIUM,1201 SOUTH MAIN STREET,ANN ARBOR,MI,48104,3722,(734) 647-2583,SINGLE USE,OPEN,107601,WASHTENAW,26161,USA,42.26587226,-83.74874721,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://mgoblue.com/sports/2017/6/16/facilities-michigan-stadium-html.aspx,THE BIG HOUSE,,,2018-09-01,1,3,67,Salesforce
Sterling Commerce,SCC_2149,105,133,KELLY/SHORTS STADIUM,2300 EAST CAMPUS DRIVE,MOUNT PLEASANT,MI,48858,,(989) 774-2842,SINGLE USE,OPEN,30255,ISABELLA,26073,USA,43.57762,-84.77082,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://cmuchippewas.com/sports/2018/7/6/facilities-football-facilities-html.aspx,,,,2019-01-01,1,3,67,Salesforce
Sterling Commerce,SCC_3388,106,134,RYNEARSON STADIUM,184 WESTVIEW STREET,YPSILANTI,MI,48197,,(734) 487-1029,SINGLE USE,OPEN,30200,WASHTENAW,26161,USA,42.25592,-83.64738,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.emueagles.com/sports/2005/11/8/RynearsonStadium.aspx?id=38,THE FACTORY,,,2015-09-01,1,5,40,Salesforce
Sterling Commerce,SCC_2777,113,141,BB&T FIELD,411 DEACON BOULEVARD,WINSTON-SALEM,NC,27105,,(336) 758-3322,SINGLE USE,OPEN,31500,FORSYTH,13117,USA,36.13056,-80.25455,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.wakeforestsports.com/facilities/wake-bbt-field.html,GROVES STADIUM,,,2016-04-01,1,4,50,Salesforce
Sterling Commerce,SCC_3100,116,144,DOWDY-FINKLEN STADIUM,100 FICKLEN DRIVE,GREENVILLE,NC,27858,4353,(252) 328-6131,SINGLE USE,OPEN,50000,PITT,37147,USA,35.59647,-77.36526,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://ecupirates.com/facilities/?id=1,,,,2012-12-01,1,5,40,Salesforce
Sterling Commerce,SCC_1444,123,379,CARRIER DOME,FORESTRY DRIVE AND CROUSE DRIVE,SYRACUSE,NY,13210,,(315) 443-4634,MULTIUSE,OPEN,49250,ONONDAGA,36067,USA,43.03623468,-76.13629261,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://cuse.com/sports/2001/8/7/carrierdome.aspx,THE LOUD HOUSE,,,2017-01-01,1,4,50,Salesforce
Sterling Commerce,SCC_4238,125,153,UB STADIUM,AUGSPURGER AND WEBSTER ROAD,AMHERST,NY,14228,,(716) 645-6900,SINGLE USE,OPEN,30270,ERIE,39043,USA,42.99913,-78.7775,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.ubbulls.com/facilities/ubstadium,,,,2017-12-01,1,4,50,Salesforce
Sterling Commerce,SCC_3323,129,157,DOYT PERRY STADIUM,STADIUM DRIVE,BOWLING GREEN,OH,43403,,(419) 372-7075,SINGLE USE,OPEN,24000,WOOD,55141,USA,41.37805,-83.62248,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.bgsusports.com/mambo/index.php?Itemid=54&id=22&option=com_content&task=view,,,,2014-02-01,1,3,67,Salesforce
Sterling Commerce,SCC_2300,132,160,PEDEN STADIUM,SOUTH GREEN DRIVE AND RICHLAND AVENUE,ATHENS,OH,45701,,(740) 593-4491,SINGLE USE,OPEN,24000,ATHENS,39009,USA,39.32101,-82.10293,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.ohiobobcats.com/facilities/peden-stadium/index,,,,2019-04-01,1,5,40,Salesforce
Sterling Commerce,SCC_1888,138,166,BEAVER STADIUM,CURTIN ROAD AND PORTER ROAD,STATE COLLEGE,PA,16802,,(814) 863-1000,SINGLE USE,OPEN,106572,CENTRE,42027,USA,40.81217,-77.85608,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.gopsusports.com/facilities/beaver-stadium.html,,,,2018-05-01,1,5,40,Salesforce
Sterling Commerce,SCC_4193,144,174,JOHNNY RED FLOYD STADIUM,FAULKINBERRY DRIVE AND NORMAL WAY,MURFREESBORO,TN,37132,,(615) 898-2570,SINGLE USE,OPEN,30788,RUTHERFORD,37161,USA,35.85114,-86.36814,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://goblueraiders.com/sports/2014/7/9/FB_0709140906.aspx,,,,2019-03-01,1,4,50,Salesforce
Sterling Commerce,SCC_1769,147,178,KYLE FIELD,JOE ROUTT BOULEVARD,COLLEGE STATION,TX,77843,,(888) 992-4443,SINGLE USE,OPEN,102733,BRAZOS,48041,USA,30.60993,-96.34042,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://12thman.com/facilities/?id=1,,,,2014-11-01,1,3,67,Salesforce
Sterling Commerce,SCC_1662,148,179,GERALD J. FORD STADIUM,5801 AIRLINE ROAD,DALLAS,TX,75205,,(214) 768-1617,SINGLE USE,OPEN,32000,DALLAS,19049,USA,32.83774,-96.78277,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://smumustangs.com/facilities/?id=2,,,,2010-03-01,1,5,40,Salesforce
Sterling Commerce,SCC_3023,149,181,RICE STADIUM,6100 SOUTH MAIN STREET,HOUSTON,TX,77005,,(713) 522-6957,SINGLE USE,OPEN,47000,HARRIS,48201,USA,29.71633,-95.40932,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://riceowls.com/facilities/?id=3,,,,2011-05-01,1,3,67,Salesforce
Sterling Commerce,SCC_4618,151,183,AMON G. CARTER STADIUM,2850 STADIUM DRIVE,FORT WORTH,TX,76129,1,(817) 257-3764,SINGLE USE,OPEN,45000,TARRANT,48439,USA,32.70965,-97.3681,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.gofrogs.com/facilities/tcu-facilities-football.html,,,,2012-12-01,1,3,67,Salesforce
Sterling Commerce,SCC_4511,155,187,LANE STADIUM,185 BEAMER WAY,BLACKSBURG,VA,24060,,(540) 231-6731,SINGLE USE,OPEN,65632,MONTGOMERY,20125,USA,37.21995714,-80.41805998,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://hokiesports.com/sports/2018/4/20/lane-stadium-worsham-field.aspx?id=104,LANE STADIUM/WORSHAM FIELD,,,2019-11-01,1,3,67,Salesforce
Sterling Commerce,SCC_2905,159,191,CAMP RANDALL STADIUM,1440 MONROE STREET,MADISON,WI,53711,2051,(608) 262-1866,SINGLE USE,OPEN,80321,DANE,55025,USA,43.06993,-89.41267,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://uwbadgers.com/sports/2015/08/21/GEN_2014010132.aspx,,,,2016-07-01,1,3,67,Salesforce
Sterling Commerce,SCC_1631,163,195,APOGEE STADIUM,1500 SOUTH BONNIE BRAE STREET,DENTON,TX,76207,,(940) 565-2527,SINGLE USE,OPEN,30850,DENTON,48121,USA,33.20393,-97.15922,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://meangreensports.com/facilities/?id=4,,,,2013-12-01,1,5,40,Salesforce
Sterling Commerce,SCC_2371,164,196,SPECTRUM STADIUM,4465 KNIGHTS VICTORY WAY,ORLANDO,FL,32816,,(407) 823-1000,SINGLE USE,OPEN,44206,ORANGE,48361,USA,28.60825,-81.19259,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.nmnathletics.com/ViewArticle.dbml?DB_OEM_ID=34100&ATCLID=211735275,THE BOUNCE HOUSE,,BRIGHT HOUSE NETWORKS STADIUM,2013-11-01,1,3,67,Salesforce
Sterling Commerce,SCC_4730,167,199,TCF BANK STADIUM,SE UNIVERSITY AVENUE AND SE OAK STREET,MINNEAPOLIS,MN,55455,,(612) 625-5000,SINGLE USE,OPEN,50805,HENNEPIN,27053,USA,44.97656,-93.22454,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://gophersports.com/sports/2018/5/21/facilities-tcf-bank-stadium-html.aspx,,,,2019-08-01,1,3,67,Salesforce
Sterling Commerce,SCC_4078,168,201,INFOCISION STADIUM - SUMMA FIELD,SOUTH UNION STREET AND VINE STREET,AKRON,OH,44304,,(330) 972-6920,SINGLE USE,OPEN,30000,SUMMIT,49043,USA,41.0726,-81.50839,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://gozips.com/sports/2017/5/25/athletics-facilities-InfoCision.aspx,,,,2015-02-01,1,5,40,Salesforce
Sterling Commerce,SCC_4434,169,202,CHILDREN'S MERCY PARK,1 SPORTING WAY,KANSAS CITY,KS,66111,,(913) 912-7600,SINGLE USE,OPEN,18467,WYANDOTTE,20209,USA,39.12161223,-94.82329885,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.sportingkc.com/childrens-mercy-park,LIVESTRONG SPORTING PARK,,SPORTING PARK,2014-03-01,1,4,50,Salesforce
Sterling Commerce,SCC_2691,175,209,TOYOTA STADIUM,9200 WORLD CUP WAY,FRISCO,TX,75034,,(214) 705-6700,SINGLE USE,OPEN,20500,COLLIN,48085,USA,33.15433222,-96.83522179,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://www.fcdallas.com/stadium,,,PIZZA HUT PARK,2010-01-01,1,3,67,Salesforce
Sterling Commerce,SCC_3737,177,211,RIO TINTO STADIUM,9256 SOUTH STATE,SANDY,UT,84070,,(801) 727-2700,SINGLE USE,OPEN,20000,SALT LAKE,49035,USA,40.58291217,-111.8933271,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://riotintostadium.com/stadium-images/,,,,2015-04-01,1,4,50,Salesforce
Sterling Commerce,SCC_2182,179,214,BMO FIELD,170 PRINCESS BOULEVARD,TORONTO,ON,M6K 3C3,,(416) 263-5700,SINGLE USE,OPEN,30000,TORONTO,3520005,CAN,43.63318251,-79.41859315,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://bmofield.com/,,,,2015-01-01,1,4,50,Salesforce
Sterling Commerce,SCC_4664,181,217,PROVIDENCE PARK,1844 SW MORRISON,PORTLAND,OR,97205,,(503) 553-5400,SINGLE USE,OPEN,20323,MULTNOMAH,41051,USA,45.52156048,-122.691804,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://providenceparkpdx.com/about,,,JELD-WEN FIELD,2010-09-01,1,4,50,Salesforce
Sterling Commerce,SCC_4810,182,218,BC PLACE,777 PACIFIC BLVD,VANCOUVER,BC,V6B 4Y8,,(604) 669-2300,SINGLE USE,OPEN,54500,VANCOUVER,5915022,CAN,49.27663723,-123.1120213,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.bcplace.com/the-stadium,,,,2019-07-01,1,3,67,Salesforce
Sterling Commerce,SCC_2799,185,221,CITIZENS BANK PARK,1 CITIZENS BANK WAY,PHILADELPHIA,PA,19148,5249,(215) 463-1000,SINGLE USE,OPEN,43651,PHILADELPHIA,42101,USA,39.90618001,-75.16647156,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/phillies/ballpark,,,,2010-06-01,1,3,67,Salesforce
Sterling Commerce,SCC_4785,190,226,GREAT AMERICAN BALL PARK,100 JOE NUXHALL WAY,CINCINNATI,OH,45202,,(513) 381-7337,SINGLE USE,OPEN,42319,HAMILTON,20075,USA,39.09721,-84.50646,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/reds/ballpark,,,,2014-10-01,1,3,67,Salesforce
Sterling Commerce,SCC_2796,194,230,MINUTE MAID PARK,501 CRAWFORD STREET,HOUSTON,TX,77002,,(713) 259-8000,SINGLE USE,OPEN,41168,HARRIS,48201,USA,29.75718,-95.35554,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,http://houston.astros.mlb.com/hou/ballpark/index.jsp,,,,2011-08-01,1,3,67,Salesforce
Sterling Commerce,SCC_4459,199,235,PNC PARK,115 FEDERAL STREET,PITTSBURGH,PA,15212,,(412) 321-2827,SINGLE USE,OPEN,38362,ALLEGHENY,42003,USA,40.44705001,-80.00616003,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/pirates/ballpark,,,,2012-06-01,1,5,40,Salesforce
Sterling Commerce,SCC_2043,202,238,GLOBE LIFE PARK IN ARLINGTON,1000 BALLPARK WAY,ARLINGTON,TX,76011,,(817) 273-5222,SINGLE USE,OPEN,48114,TARRANT,48439,USA,32.75123,-97.08255,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/rangers/ballpark,,,RANGERS BALLPARK IN ARLINGTON,2010-12-01,1,4,50,Salesforce
Sterling Commerce,SCC_3534,205,241,GUARANTEED RATE FIELD,333 WEST 35TH STREET,CHICAGO,IL,60616,,(312) 674-1000,SINGLE USE,OPEN,40615,COOK,27031,USA,41.82985,-87.63365,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/whitesox/ballpark,,,U.S. CELLULAR FIELD,2014-09-01,1,4,50,Salesforce
Sterling Commerce,SCC_4353,208,244,NATIONALS PARK,1500 SOUTH CAPITOL ST SE,WASHINGTON,DC,20003,,(202) 675-6287,SINGLE USE,OPEN,41418,DISTRICT OF COLUMBIA,11001,USA,38.87305,-77.0074,711310,PROMOTERS OF PERFORMING ARTS SPORTS AND SIMILAR EVENTS WITH FACILITIES,https://www.mlb.com/nationals/ballpark,,,,2011-07-01,1,4,50,Salesforce
