recordId,plantID,sensorManufacturer,sensor_reading_timestamp,sensor_id,sensor_output,surrogate_id,create_date
SD_P89384_68,P89384,Siemens,2020-06-16T09:30:00Z,TS001,39,TS001_2020-06-16T09:30:00Z,2020-06-16T09:30:00Z
SD_P89384_69,P89384,Siemens,2020-06-16T10:00:00Z,TS001,38,TS001_2020-06-16T10:00:00Z,2020-06-16T10:00:00Z
SD_P89384_70,P89384,Siemens,2020-06-16T10:30:00Z,TS001,37,TS001_2020-06-16T10:30:00Z,2020-06-16T10:30:00Z
SD_P89384_71,P89384,Siemens,2020-06-16T11:00:00Z,TS001,37,TS001_2020-06-16T11:00:00Z,2020-06-16T11:00:00Z
SD_P89384_72,P89384,Siemens,2020-06-16T11:30:00Z,TS001,37,TS001_2020-06-16T11:30:00Z,2020-06-16T11:30:00Z
SD_P89384_73,P89384,Siemens,2020-06-16T12:00:00Z,TS001,38,TS001_2020-06-16T12:00:00Z,2020-06-16T12:00:00Z
SD_P89384_74,P89384,Siemens,2020-06-16T12:30:00Z,TS001,39,TS001_2020-06-16T12:30:00Z,2020-06-16T12:30:00Z
SD_P89384_75,P89384,Siemens,2020-06-16T13:00:00Z,TS001,39,TS001_2020-06-16T13:00:00Z,2020-06-16T13:00:00Z
SD_P89384_76,P89384,Siemens,2020-06-16T13:30:00Z,TS001,38,TS001_2020-06-16T13:30:00Z,2020-06-16T13:30:00Z
SD_P89384_77,P89384,Siemens,2020-06-16T14:00:00Z,TS001,37,TS001_2020-06-16T14:00:00Z,2020-06-16T14:00:00Z
SD_P89384_78,P89384,Siemens,2020-06-16T14:30:00Z,TS001,37,TS001_2020-06-16T14:30:00Z,2020-06-16T14:30:00Z
SD_P89384_79,P89384,Siemens,2020-06-16T15:00:00Z,TS001,38,TS001_2020-06-16T15:00:00Z,2020-06-16T15:00:00Z
SD_P89384_80,P89384,Siemens,2020-06-16T15:30:00Z,TS001,37,TS001_2020-06-16T15:30:00Z,2020-06-16T15:30:00Z
SD_P89384_81,P89384,Siemens,2020-06-16T16:00:00Z,TS001,39,TS001_2020-06-16T16:00:00Z,2020-06-16T16:00:00Z
SD_P89384_82,P89384,Siemens,2020-06-16T16:30:00Z,TS001,38,TS001_2020-06-16T16:30:00Z,2020-06-16T16:30:00Z
SD_P89384_83,P89384,Siemens,2020-06-16T17:00:00Z,TS001,39,TS001_2020-06-16T17:00:00Z,2020-06-16T17:00:00Z
SD_P89384_84,P89384,Siemens,2020-06-16T17:30:00Z,TS001,37,TS001_2020-06-16T17:30:00Z,2020-06-16T17:30:00Z
SD_P89384_85,P89384,Siemens,2020-06-16T18:00:00Z,TS001,37,TS001_2020-06-16T18:00:00Z,2020-06-16T18:00:00Z
SD_P89384_86,P89384,Siemens,2020-06-16T18:30:00Z,TS001,39,TS001_2020-06-16T18:30:00Z,2020-06-16T18:30:00Z
SD_P89384_87,P89384,Siemens,2020-06-16T19:00:00Z,TS001,39,TS001_2020-06-16T19:00:00Z,2020-06-16T19:00:00Z
SD_P89384_88,P89384,Siemens,2020-06-16T19:30:00Z,TS001,37,TS001_2020-06-16T19:30:00Z,2020-06-16T19:30:00Z
SD_P89384_89,P89384,Siemens,2020-06-16T20:00:00Z,TS001,38,TS001_2020-06-16T20:00:00Z,2020-06-16T20:00:00Z
SD_P89384_90,P89384,Siemens,2020-06-16T20:30:00Z,TS001,37,TS001_2020-06-16T20:30:00Z,2020-06-16T20:30:00Z
SD_P89384_91,P89384,Siemens,2020-06-16T21:00:00Z,TS001,38,TS001_2020-06-16T21:00:00Z,2020-06-16T21:00:00Z
SD_P89384_92,P89384,Siemens,2020-06-16T21:30:00Z,TS001,37,TS001_2020-06-16T21:30:00Z,2020-06-16T21:30:00Z
SD_P89384_93,P89384,Siemens,2020-06-16T22:00:00Z,TS001,39,TS001_2020-06-16T22:00:00Z,2020-06-16T22:00:00Z
SD_P89384_94,P89384,Siemens,2020-06-16T22:30:00Z,TS001,39,TS001_2020-06-16T22:30:00Z,2020-06-16T22:30:00Z
SD_P89384_95,P89384,Siemens,2020-06-16T23:00:00Z,TS001,39,TS001_2020-06-16T23:00:00Z,2020-06-16T23:00:00Z
SD_P89384_96,P89384,Siemens,2020-06-16T23:30:00Z,TS001,39,TS001_2020-06-16T23:30:00Z,2020-06-16T23:30:00Z
SD_P89384_97,P89384,Siemens,2020-06-17T00:00:00Z,TS001,38,TS001_2020-06-17T00:00:00Z,2020-06-17T00:00:00Z
SD_P89384_98,P89384,Siemens,2020-06-17T00:30:00Z,TS001,37,TS001_2020-06-17T00:30:00Z,2020-06-17T00:30:00Z
SD_P89384_99,P89384,Siemens,2020-06-17T01:00:00Z,TS001,37,TS001_2020-06-17T01:00:00Z,2020-06-17T01:00:00Z
SD_P89384_100,P89384,Siemens,2020-06-17T01:30:00Z,TS001,38,TS001_2020-06-17T01:30:00Z,2020-06-17T01:30:00Z
SD_P89384_101,P89384,Siemens,2020-06-17T02:00:00Z,TS001,39,TS001_2020-06-17T02:00:00Z,2020-06-17T02:00:00Z
SD_P89384_102,P89384,Siemens,2020-06-17T02:30:00Z,TS001,39,TS001_2020-06-17T02:30:00Z,2020-06-17T02:30:00Z
SD_P89384_103,P89384,Siemens,2020-06-17T03:00:00Z,TS001,39,TS001_2020-06-17T03:00:00Z,2020-06-17T03:00:00Z
SD_P89384_104,P89384,Siemens,2020-06-17T03:30:00Z,TS001,38,TS001_2020-06-17T03:30:00Z,2020-06-17T03:30:00Z
SD_P89384_105,P89384,Siemens,2020-06-17T04:00:00Z,TS001,37,TS001_2020-06-17T04:00:00Z,2020-06-17T04:00:00Z
SD_P89384_106,P89384,Siemens,2020-06-17T04:30:00Z,TS001,37,TS001_2020-06-17T04:30:00Z,2020-06-17T04:30:00Z
SD_P89384_107,P89384,Siemens,2020-06-17T05:00:00Z,TS001,39,TS001_2020-06-17T05:00:00Z,2020-06-17T05:00:00Z
SD_P89384_108,P89384,Siemens,2020-06-17T05:30:00Z,TS001,39,TS001_2020-06-17T05:30:00Z,2020-06-17T05:30:00Z
SD_P89384_109,P89384,Siemens,2020-06-17T06:00:00Z,TS001,37,TS001_2020-06-17T06:00:00Z,2020-06-17T06:00:00Z
SD_P89384_110,P89384,Siemens,2020-06-17T06:30:00Z,TS001,39,TS001_2020-06-17T06:30:00Z,2020-06-17T06:30:00Z
SD_P89384_111,P89384,Siemens,2020-06-17T07:00:00Z,TS001,38,TS001_2020-06-17T07:00:00Z,2020-06-17T07:00:00Z
SD_P89384_112,P89384,Siemens,2020-06-17T07:30:00Z,TS001,39,TS001_2020-06-17T07:30:00Z,2020-06-17T07:30:00Z
SD_P89384_113,P89384,Siemens,2020-06-17T08:00:00Z,TS001,37,TS001_2020-06-17T08:00:00Z,2020-06-17T08:00:00Z
SD_P89384_114,P89384,Siemens,2020-06-17T08:30:00Z,TS001,39,TS001_2020-06-17T08:30:00Z,2020-06-17T08:30:00Z
SD_P89384_115,P89384,Siemens,2020-06-17T09:00:00Z,TS001,37,TS001_2020-06-17T09:00:00Z,2020-06-17T09:00:00Z
SD_P89384_116,P89384,Siemens,2020-06-17T09:30:00Z,TS001,37,TS001_2020-06-17T09:30:00Z,2020-06-17T09:30:00Z
SD_P89384_117,P89384,Siemens,2020-06-17T10:00:00Z,TS001,39,TS001_2020-06-17T10:00:00Z,2020-06-17T10:00:00Z
SD_P89384_118,P89384,Siemens,2020-06-17T10:30:00Z,TS001,38,TS001_2020-06-17T10:30:00Z,2020-06-17T10:30:00Z
SD_P89384_119,P89384,Siemens,2020-06-17T11:00:00Z,TS001,38,TS001_2020-06-17T11:00:00Z,2020-06-17T11:00:00Z
SD_P89384_120,P89384,Siemens,2020-06-17T11:30:00Z,TS001,39,TS001_2020-06-17T11:30:00Z,2020-06-17T11:30:00Z
SD_P89384_121,P89384,Siemens,2020-06-17T12:00:00Z,TS001,37,TS001_2020-06-17T12:00:00Z,2020-06-17T12:00:00Z
SD_P89384_122,P89384,Siemens,2020-06-17T12:30:00Z,TS001,39,TS001_2020-06-17T12:30:00Z,2020-06-17T12:30:00Z
SD_P89384_123,P89384,Siemens,2020-06-17T13:00:00Z,TS001,37,TS001_2020-06-17T13:00:00Z,2020-06-17T13:00:00Z
SD_P89384_124,P89384,Siemens,2020-06-17T13:30:00Z,TS001,37,TS001_2020-06-17T13:30:00Z,2020-06-17T13:30:00Z
SD_P89384_125,P89384,Siemens,2020-06-17T14:00:00Z,TS001,39,TS001_2020-06-17T14:00:00Z,2020-06-17T14:00:00Z
SD_P89384_126,P89384,Siemens,2020-06-17T14:30:00Z,TS001,39,TS001_2020-06-17T14:30:00Z,2020-06-17T14:30:00Z
SD_P89384_127,P89384,Siemens,2020-06-17T15:00:00Z,TS001,38,TS001_2020-06-17T15:00:00Z,2020-06-17T15:00:00Z
SD_P89384_128,P89384,Siemens,2020-06-17T15:30:00Z,TS001,37,TS001_2020-06-17T15:30:00Z,2020-06-17T15:30:00Z
SD_P89384_129,P89384,Siemens,2020-06-17T16:00:00Z,TS001,38,TS001_2020-06-17T16:00:00Z,2020-06-17T16:00:00Z
SD_P89384_130,P89384,Siemens,2020-06-17T16:30:00Z,TS001,37,TS001_2020-06-17T16:30:00Z,2020-06-17T16:30:00Z
SD_P89384_131,P89384,Siemens,2020-06-17T17:00:00Z,TS001,39,TS001_2020-06-17T17:00:00Z,2020-06-17T17:00:00Z
SD_P89384_132,P89384,Siemens,2020-06-17T17:30:00Z,TS001,38,TS001_2020-06-17T17:30:00Z,2020-06-17T17:30:00Z
SD_P89384_133,P89384,Siemens,2020-06-17T18:00:00Z,TS001,37,TS001_2020-06-17T18:00:00Z,2020-06-17T18:00:00Z
SD_P89384_134,P89384,Siemens,2020-06-17T18:30:00Z,TS001,38,TS001_2020-06-17T18:30:00Z,2020-06-17T18:30:00Z
SD_P89384_135,P89384,Siemens,2020-06-17T19:00:00Z,TS001,37,TS001_2020-06-17T19:00:00Z,2020-06-17T19:00:00Z
SD_P89384_136,P89384,Siemens,2020-06-17T19:30:00Z,TS001,38,TS001_2020-06-17T19:30:00Z,2020-06-17T19:30:00Z
SD_P89384_137,P89384,Siemens,2020-06-17T20:00:00Z,TS001,38,TS001_2020-06-17T20:00:00Z,2020-06-17T20:00:00Z
SD_P89384_138,P89384,Siemens,2020-06-17T20:30:00Z,TS001,37,TS001_2020-06-17T20:30:00Z,2020-06-17T20:30:00Z
SD_P89384_139,P89384,Siemens,2020-06-17T21:00:00Z,TS001,37,TS001_2020-06-17T21:00:00Z,2020-06-17T21:00:00Z
SD_P89384_140,P89384,Siemens,2020-06-17T21:30:00Z,TS001,37,TS001_2020-06-17T21:30:00Z,2020-06-17T21:30:00Z
SD_P89384_141,P89384,Siemens,2020-06-17T22:00:00Z,TS001,37,TS001_2020-06-17T22:00:00Z,2020-06-17T22:00:00Z
SD_P89384_142,P89384,Siemens,2020-06-17T22:30:00Z,TS001,39,TS001_2020-06-17T22:30:00Z,2020-06-17T22:30:00Z
SD_P89384_143,P89384,Siemens,2020-06-17T23:00:00Z,TS001,37,TS001_2020-06-17T23:00:00Z,2020-06-17T23:00:00Z
SD_P89384_144,P89384,Siemens,2020-06-17T23:30:00Z,TS001,37,TS001_2020-06-17T23:30:00Z,2020-06-17T23:30:00Z
SD_P89384_145,P89384,Siemens,2020-06-18T00:00:00Z,TS001,38,TS001_2020-06-18T00:00:00Z,2020-06-18T00:00:00Z
SD_P89384_146,P89384,Siemens,2020-06-18T00:30:00Z,TS001,38,TS001_2020-06-18T00:30:00Z,2020-06-18T00:30:00Z
SD_P89384_147,P89384,Siemens,2020-06-18T01:00:00Z,TS001,39,TS001_2020-06-18T01:00:00Z,2020-06-18T01:00:00Z
SD_P89384_148,P89384,Siemens,2020-06-18T01:30:00Z,TS001,38,TS001_2020-06-18T01:30:00Z,2020-06-18T01:30:00Z
SD_P89384_149,P89384,Siemens,2020-06-18T02:00:00Z,TS001,39,TS001_2020-06-18T02:00:00Z,2020-06-18T02:00:00Z
SD_P89384_150,P89384,Siemens,2020-06-18T02:30:00Z,TS001,37,TS001_2020-06-18T02:30:00Z,2020-06-18T02:30:00Z
SD_P89384_151,P89384,Siemens,2020-06-18T03:00:00Z,TS001,37,TS001_2020-06-18T03:00:00Z,2020-06-18T03:00:00Z
SD_P89384_152,P89384,Siemens,2020-06-18T03:30:00Z,TS001,37,TS001_2020-06-18T03:30:00Z,2020-06-18T03:30:00Z
SD_P89384_153,P89384,Siemens,2020-06-18T04:00:00Z,TS001,37,TS001_2020-06-18T04:00:00Z,2020-06-18T04:00:00Z
SD_P89384_154,P89384,Siemens,2020-06-18T04:30:00Z,TS001,39,TS001_2020-06-18T04:30:00Z,2020-06-18T04:30:00Z
SD_P89384_155,P89384,Siemens,2020-06-18T05:00:00Z,TS001,39,TS001_2020-06-18T05:00:00Z,2020-06-18T05:00:00Z
SD_P89384_156,P89384,Siemens,2020-06-18T05:30:00Z,TS001,39,TS001_2020-06-18T05:30:00Z,2020-06-18T05:30:00Z
SD_P89384_157,P89384,Siemens,2020-06-18T06:00:00Z,TS001,38,TS001_2020-06-18T06:00:00Z,2020-06-18T06:00:00Z
SD_P89384_158,P89384,Siemens,2020-06-18T06:30:00Z,TS001,39,TS001_2020-06-18T06:30:00Z,2020-06-18T06:30:00Z
SD_P89384_159,P89384,Siemens,2020-06-18T07:00:00Z,TS001,37,TS001_2020-06-18T07:00:00Z,2020-06-18T07:00:00Z
SD_P89384_160,P89384,Siemens,2020-06-18T07:30:00Z,TS001,37,TS001_2020-06-18T07:30:00Z,2020-06-18T07:30:00Z
SD_P89384_161,P89384,Siemens,2020-06-18T08:00:00Z,TS001,39,TS001_2020-06-18T08:00:00Z,2020-06-18T08:00:00Z
SD_P89384_162,P89384,Siemens,2020-06-18T08:30:00Z,TS001,38,TS001_2020-06-18T08:30:00Z,2020-06-18T08:30:00Z
SD_P89384_163,P89384,Siemens,2020-06-18T09:00:00Z,TS001,37,TS001_2020-06-18T09:00:00Z,2020-06-18T09:00:00Z
SD_P89384_164,P89384,Siemens,2020-06-18T09:30:00Z,TS001,38,TS001_2020-06-18T09:30:00Z,2020-06-18T09:30:00Z
SD_P89384_165,P89384,Siemens,2020-06-18T10:00:00Z,TS001,39,TS001_2020-06-18T10:00:00Z,2020-06-18T10:00:00Z
SD_P89384_166,P89384,Siemens,2020-06-18T10:30:00Z,TS001,38,TS001_2020-06-18T10:30:00Z,2020-06-18T10:30:00Z
SD_P89384_167,P89384,Siemens,2020-06-18T11:00:00Z,TS001,38,TS001_2020-06-18T11:00:00Z,2020-06-18T11:00:00Z
SD_P89384_168,P89384,Siemens,2020-06-18T11:30:00Z,TS001,39,TS001_2020-06-18T11:30:00Z,2020-06-18T11:30:00Z
SD_P89384_169,P89384,Siemens,2020-06-18T12:00:00Z,TS001,38,TS001_2020-06-18T12:00:00Z,2020-06-18T12:00:00Z
SD_P89384_170,P89384,Siemens,2020-06-18T12:30:00Z,TS001,37,TS001_2020-06-18T12:30:00Z,2020-06-18T12:30:00Z
SD_P89384_171,P89384,Siemens,2020-06-18T13:00:00Z,TS001,37,TS001_2020-06-18T13:00:00Z,2020-06-18T13:00:00Z
SD_P89384_172,P89384,Siemens,2020-06-18T13:30:00Z,TS001,39,TS001_2020-06-18T13:30:00Z,2020-06-18T13:30:00Z
SD_P89384_173,P89384,Siemens,2020-06-18T14:00:00Z,TS001,38,TS001_2020-06-18T14:00:00Z,2020-06-18T14:00:00Z
SD_P89384_174,P89384,Siemens,2020-06-18T14:30:00Z,TS001,38,TS001_2020-06-18T14:30:00Z,2020-06-18T14:30:00Z
SD_P89384_175,P89384,Siemens,2020-06-18T15:00:00Z,TS001,38,TS001_2020-06-18T15:00:00Z,2020-06-18T15:00:00Z
SD_P89384_176,P89384,Siemens,2020-06-18T15:30:00Z,TS001,38,TS001_2020-06-18T15:30:00Z,2020-06-18T15:30:00Z
SD_P89384_177,P89384,Siemens,2020-06-18T16:00:00Z,TS001,37,TS001_2020-06-18T16:00:00Z,2020-06-18T16:00:00Z
SD_P89384_178,P89384,Siemens,2020-06-18T16:30:00Z,TS001,39,TS001_2020-06-18T16:30:00Z,2020-06-18T16:30:00Z
SD_P89384_179,P89384,Siemens,2020-06-18T17:00:00Z,TS001,38,TS001_2020-06-18T17:00:00Z,2020-06-18T17:00:00Z
SD_P89384_180,P89384,Siemens,2020-06-18T17:30:00Z,TS001,39,TS001_2020-06-18T17:30:00Z,2020-06-18T17:30:00Z
SD_P89384_181,P89384,Siemens,2020-06-18T18:00:00Z,TS001,39,TS001_2020-06-18T18:00:00Z,2020-06-18T18:00:00Z
SD_P89384_182,P89384,Siemens,2020-06-18T18:30:00Z,TS001,37,TS001_2020-06-18T18:30:00Z,2020-06-18T18:30:00Z
SD_P89384_183,P89384,Siemens,2020-06-18T19:00:00Z,TS001,38,TS001_2020-06-18T19:00:00Z,2020-06-18T19:00:00Z
SD_P89384_184,P89384,Siemens,2020-06-18T19:30:00Z,TS001,38,TS001_2020-06-18T19:30:00Z,2020-06-18T19:30:00Z
SD_P89384_185,P89384,Siemens,2020-06-18T20:00:00Z,TS001,38,TS001_2020-06-18T20:00:00Z,2020-06-18T20:00:00Z
SD_P89384_186,P89384,Siemens,2020-06-18T20:30:00Z,TS001,38,TS001_2020-06-18T20:30:00Z,2020-06-18T20:30:00Z
SD_P89384_187,P89384,Siemens,2020-06-18T21:00:00Z,TS001,39,TS001_2020-06-18T21:00:00Z,2020-06-18T21:00:00Z
SD_P89384_188,P89384,Siemens,2020-06-18T21:30:00Z,TS001,39,TS001_2020-06-18T21:30:00Z,2020-06-18T21:30:00Z
SD_P89384_189,P89384,Siemens,2020-06-18T22:00:00Z,TS001,39,TS001_2020-06-18T22:00:00Z,2020-06-18T22:00:00Z
SD_P89384_190,P89384,Siemens,2020-06-18T22:30:00Z,TS001,38,TS001_2020-06-18T22:30:00Z,2020-06-18T22:30:00Z
