ProductID,PackagedOn,SkidID,SkidName,Pallet,Quantity,UOM,PickupDate,Warehouse,Distributor,Truck,Truck_Label,Customer,DeliveryDate,DistributionID,DistributionName,SourceName
MD001PL01K50L07012020MD011Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P011,Munich Dunkel Keg 50 Liter - P011,P011,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C003,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C003,Distribution for Fenway Park Boston Inc,Manhattan
MD001PL01K50L07012020MD012Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P012,Munich Dunkel Keg 50 Liter - P012,P012,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C003,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C003,Distribution for Fenway Park Boston Inc,Manhattan
MD001PL01K50L07012020MD013Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P013,Munich Dunkel Keg 50 Liter - P013,P013,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C003,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C003,Distribution for Fenway Park Boston Inc,Manhattan
MD001PL01K50L07012020MD014Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P014,Munich Dunkel Keg 50 Liter - P014,P014,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C004,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C004,Distribution for Madison Square Garden NYC,Manhattan
MD001PL01K50L07012020MD015Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P015,Munich Dunkel Keg 50 Liter - P015,P015,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C004,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C004,Distribution for Madison Square Garden NYC,Manhattan
MD001PL01K50L07012020MD016Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P016,Munich Dunkel Keg 50 Liter - P016,P016,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C004,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C004,Distribution for Madison Square Garden NYC,Manhattan
MD001PL01K50L07012020MD017Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P017,Munich Dunkel Keg 50 Liter - P017,P017,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C005,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C005,Distribution for Lambeau Field Green Bay,Manhattan
MD001PL01K50L07012020MD018Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P018,Munich Dunkel Keg 50 Liter - P018,P018,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C005,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C005,Distribution for Lambeau Field Green Bay,Manhattan
MD001PL01K50L07012020MD019Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P019,Munich Dunkel Keg 50 Liter - P019,P019,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C005,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C005,Distribution for Lambeau Field Green Bay,Manhattan
MD001PL01K50L07012020MD020Keg50Liter,2020-07-09,MD001PL01K50L07012020MD001Keg50Liter_P020,Munich Dunkel Keg 50 Liter - P020,P020,20,EA,2020-07-15,W001,D002,TRK003,Truck 003,C005,2020-07-18,MD001PL01K50L07012020MD001Keg50Liter_C005,Distribution for Lambeau Field Green Bay,Manhattan
