ID,Name,EntityType,RelationshipName,RelatedTo,RelatedTo_EntityType,sendsTo_Relation1,sendsTo_EntityType_Relation1,sendsTo_Relation2,sendsTo_EntityType_Relation2,Supplier,LotNumber,DeliveryDate,Quantity,UOM,StoredIn,SourceName,CreateDate,MeasurementType,Measurement_Description,Measurement_Unit
MV01,Maturing Vat 1,MaturingVat,part_of,PL01,ProductionLine,FL01,FiltrationSystem,,,,,,,,,SAP,,,,
MV02,Maturing Vat 2,MaturingVat,part_of,PL01,ProductionLine,FL01,FiltrationSystem,,,,,,,,,SAP,,,,
FL01,Filter 1,FiltrationSystem,part_of,PL01,ProductionLine,KF01,KegFiller,,,,,,,,,SAP,,,,
KF01,Keg Filler 1,KegFiller,part_of,PL01,ProductionLine,,,,,,,,,,,SAP,,,,
MM02,Malting Mill 2,Mill,part_of,PL02,ProductionLine,ML02,Masher,,,,,,,,,SAP,,,,
ML02,Mashing & Lautering Unit 2,Masher,part_of,PL02,ProductionLine,B02,Boiler,SGS01,Silo,,,,,,,SAP,,,,
B02,Boiler 2,Boiler,part_of,PL02,ProductionLine,WP02,Whirlpool,,,,,,,,,SAP,,,,
WP02,Whirlpool 2,Whirlpool,part_of,PL02,ProductionLine,CLR02,Cooler,,,,,,,,,SAP,,,,
CLR02,Cooler 2,Cooler,part_of,PL02,ProductionLine,FR03,Fermenter,FR04,Fermenter,,,,,,,SAP,,,,
FR03,Fermenter 3,Fermenter,part_of,PL02,ProductionLine,MV03,MaturingVat,,,,,,,,,SAP,,,,
FR04,Fermenter 4,Fermenter,part_of,PL02,ProductionLine,MV04,MaturingVat,,,,,,,,,SAP,,,,
MV03,Maturing Vat 3,MaturingVat,part_of,PL02,ProductionLine,FL02,FiltrationSystem,,,,,,,,,SAP,,,,
MV04,Maturing Vat 4,MaturingVat,part_of,PL02,ProductionLine,FL02,FiltrationSystem,,,,,,,,,SAP,,,,
FL02,Filter 2,FiltrationSystem,part_of,PL02,ProductionLine,KF02,KegFiller,,,,,,,,,SAP,,,,
KF02,Keg Filler 2,KegFiller,part_of,PL02,ProductionLine,,,,,,,,,,,SAP,,,,
MM03,Malting Mill 1 (AUS),Mill,part_of,PL03,ProductionLine,ML03,Masher,,,,,,,,,SAP,,,,
ML03,Mashing & Lautering Unit 3,Masher,part_of,PL03,ProductionLine,B03,Boiler,SGS02,Silo,,,,,,,SAP,,,,
B03,Boiler 3,Boiler,part_of,PL03,ProductionLine,WP03,Whirlpool,,,,,,,,,SAP,,,,
WP03,Whirlpool 3,Whirlpool,part_of,PL03,ProductionLine,CLR03,Cooler,,,,,,,,,SAP,,,,
CLR03,Cooler 3,Cooler,part_of,PL03,ProductionLine,FR04,Fermenter,FR05,Fermenter,,,,,,,SAP,,,,
FR04,Fermenter 4,Fermenter,part_of,PL03,ProductionLine,MV05,MaturingVat,,,,,,,,,SAP,,,,
FR05,Fermenter 5,Fermenter,part_of,PL03,ProductionLine,MV06,MaturingVat,,,,,,,,,SAP,,,,
MV05,Maturing Vat 5,MaturingVat,part_of,PL03,ProductionLine,FL03,FiltrationSystem,,,,,,,,,SAP,,,,
MV06,Maturing Vat 6,MaturingVat,part_of,PL03,ProductionLine,FL03,FiltrationSystem,,,,,,,,,SAP,,,,
FL03,Filter 3,FiltrationSystem,part_of,PL03,ProductionLine,KF03,KegFiller,,,,,,,,,SAP,,,,
KF03,Keg Filler 3,KegFiller,part_of,PL03,ProductionLine,,,,,,,,,,,SAP,,,,
MS01,Moisture Sensor 1,MoistureSensor,monitors,MM01,Mill,,,,,,,,,,,ABB,,,,
WPHS01,Wort pH Sensor 1,PHSensor,monitors,ML01,Masher,,,,,,,,,,,Bosch,,,,
TS001,Temperature Sensor 1,TemperatureSensor,monitors,ML01,Masher,,,,,,,,,,,Siemens,,,,
TS002,Temperature Sensor 2,TemperatureSensor,monitors,B01,Boiler,,,,,,,,,,,Siemens,,,,
TS003,Temperature Sensor 3,TemperatureSensor,monitors,CLR01,Cooler,,,,,,,,,,,Siemens,,,,
TS004,Temperature Sensor 4,TemperatureSensor,monitors,FR01,Fermenter,,,,,,,,,,,Siemens,,,,
TS005,Temperature Sensor 5,TemperatureSensor,monitors,MV01,MaturingVat,,,,,,,,,,,Siemens,,,,
TS006,Temperature Sensor 6,TemperatureSensor,monitors,FR02,Fermenter,,,,,,,,,,,Siemens,,,,
TS007,Temperature Sensor 7,TemperatureSensor,monitors,MV02,MaturingVat,,,,,,,,,,,Siemens,,,,
TS008,Temperature Sensor 8,TemperatureSensor,monitors,P89384,Plant,,,,,,,,,,,Siemens,,,,
TS009,Temperature Sensor 9,TemperatureSensor,monitors,W001,Warehouse,,,,,,,,,,,Siemens,,,,
TS010,Temperature Sensor 10,TemperatureSensor,monitors,W002,Warehouse,,,,,,,,,,,Siemens,,,,
HS001,Humidity Sensor 1,HumiditySensor,monitors,P89384,Plant,,,,,,,,,,,Emerson,,,,
HS002,Humidity Sensor 2,HumiditySensor,monitors,W001,Warehouse,,,,,,,,,,,Emerson,,,,
HS003,Humidity Sensor 3,HumiditySensor,monitors,W002,Warehouse,,,,,,,,,,,Emerson,,,,
AS001,Alcohol Sensor 1,AlcoholSensor,monitors,FR01,Fermenter,,,,,,,,,,,ABB,,,,
AS002,Alcohol Sensor 2,AlcoholSensor,monitors,MV01,MaturingVat,,,,,,,,,,,ABB,,,,
AS003,Alcohol Sensor 3,AlcoholSensor,monitors,FR02,Fermenter,,,,,,,,,,,ABB,,,,
AS004,Alcohol Sensor 4,AlcoholSensor,monitors,MV02,MaturingVat,,,,,,,,,,,ABB,,,,
CO2S001,CO2 Sensor 1,CO2Sensor,monitors,FR01,Fermenter,,,,,,,,,,,Bosch,,,,
CO2S002,CO2 Sensor 2,CO2Sensor,monitors,MV01,MaturingVat,,,,,,,,,,,Bosch,,,,
CO2S003,CO2 Sensor 3,CO2Sensor,monitors,FR02,Fermenter,,,,,,,,,,,Bosch,,,,
CO2S004,CO2 Sensor 4,CO2Sensor,monitors,MV02,MaturingVat,,,,,,,,,,,Bosch,,,,
WTS001,Water Tank Level Sensor,FillLevelSensor,monitors,WT01,WaterTank,,,,,,,,,,,Siemens,,,,
SGS001,Spent Grain Silo Level Sensor,FillLevelSensor,monitors,SGS01,Silo,,,,,,,,,,,ABB,,,,
KFS001,Keg Fill Level Sensor,FillLevelSensor,monitors,KF01,KegFiller,,,,,,,,,,,ABB,,,,
S001,FGW Spring Water Supplies Inc,Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S002,Bries Malters (Germany),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S003,Weyerman Malt Company (Germany),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S004,Great Western Malt Company (USA),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S005,Northwest Hop Farms (Canada),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S006,Michigan Hop Alliance (USA),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S007,Midwest Supplies inc (USA),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S008,Keg Logistics (USA),Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
S009,KFarm Inc.,Supplier,,,,,,,,,,,,,,SAP Ariba,,,,
D001,Advance Beverage Co Inc,Distributor,,,,,,,,,,,,,,Microsoft Dynamics,2/1/2020,,,
D002,Allied Beverages,Distributor,,,,,,,,,,,,,,Microsoft Dynamics,10/30/2016,,,
D003,Atlas Distribution Inc,Distributor,,,,,,,,,,,,,,Microsoft Dynamics,11/1/2015,,,
MD001,Summer Dunkel,MunichDunkel,,,,,,,,,,,,,,SAP,,,,
MD002,Winter Dunkel,MunichDunkel,,,,,,,,,,,,,,SAP,,,,
BSG001,Brewers Spent Grain,ByProduct,,,,,,,,,,,,,,SAP,,,,
RB001,Smoky Rauch,RauchBier,,,,,,,,,,,,,,SAP,,,,
RM001,Water RM001,Water,,,,,,,,S001,RM001,5/1/2020,400,HL,WT01,SAP,,,,
RM002,Munich Malt RM002,MunichMalt,,,,,,,,S002,RM002,6/20/2020,30,T,W001,SAP,,,,
RM003,Victory Malt RM003,VictoryMalt,,,,,,,,S003,RM003,6/1/2020,2,T,W001,SAP,,,,
RM004,Carafa Type 2 Malt RM004,CarafaType2Malt,,,,,,,,S004,RM004,6/2/2020,2,T,W001,SAP,,,,
RM005,Tettnang Hops RM005,TettnangHops,,,,,,,,S005,RM005,6/15/2020,200,KG,W002,SAP,,,,
RM006,Nugget Hops RM006,NuggetHops,,,,,,,,S006,RM006,6/16/2020,200,KG,W002,SAP,,,,
RM007,WYeast 2206 (BAVARIAN) RM007,WYeast2206,,,,,,,,S007,RM007,6/20/2020,100,KG,W002,SAP,,,,
RM008,50 L KEG RM008,EmptyKeg50Liter,,,,,,,,S008,RM008,6/1/2020,1000,EA,W001,SAP,,,,
RM009,25 L KEG RM009,EmptyKeg25Liter,,,,,,,,S009,RM009,6/14/2020,1000,EA,W001,SAP,,,,
RM010,Munich Malt RM010,MunichMalt,,,,,,,,S002,RM010,6/29/2020,10,T,W002,SAP,,,,
RM011,Pillsner Malt RM011,PillsnerMalt,,,,,,,,S004,RM011,6/2/2020,500,KG,W003,SAP,,,,
RM012,Farbemalz Malt RM012,FarbemalzMalt,,,,,,,,S004,RM012,6/2/2020,500,KG,W004,SAP,,,,
P001,Pallet 001,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P002,Pallet 002,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P003,Pallet 003,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P004,Pallet 004,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P005,Pallet 005,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P006,Pallet 006,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P007,Pallet 007,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P008,Pallet 008,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P009,Pallet 009,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P010,Pallet 0010,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P011,Pallet 0011,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P012,Pallet 0012,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P013,Pallet 0013,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P014,Pallet 0014,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P015,Pallet 0015,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P016,Pallet 0016,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P017,Pallet 0017,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P018,Pallet 0018,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P019,Pallet 0019,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P020,Pallet 0020,Pallet,,,,,,,,,,,,,,Manhattan,,,,
TRK001,Truck 001,Truck,part_of,D002,Distributor,,,,,,,,,,,Manhattan,,,,
TRK002,Truck 002,Truck,part_of,D001,Distributor,,,,,,,,,,,Manhattan,,,,
TRK003,Truck 003,Truck,part_of,D002,Distributor,,,,,,,,,,,Manhattan,,,,
TRK004,Truck 004,Truck,part_of,D001,Distributor,,,,,,,,,,,,,,,
