ID,Name,EntityType,EntitySubType,RelationshipName,RelatedTo,RelatedTo_EntityType,sendsTo_Relation1,sendsTo_EntityType_Relation1,sendsTo_Relation2,sendsTo_EntityType_Relation2,Supplier,LotNumber,DeliveryDate,Quantity,UOM,StoredIn,SourceName,CreateDate,MeasurementType,Measurement_Description,Measurement_Unit
SGS001,Spent Grain Silo Level Sensor,Sensor,Spent Grain Silo Level Sensor,monitors,SGS01,Silo,,,,,,,,,,,ABB,,,,
KFS001,Keg Fill Level Sensor,Sensor,Keg Fill Level Sensor,monitors,KF01,KegFiller,,,,,,,,,,,ABB,,,,
S001,FGW Spring Water Supplies Inc,Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S002,Bries Malters (Germany),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S003,Weyerman Malt Company (Germany),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S004,Great Western Malt Company (USA),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S005,Northwest Hop Farms (Canada),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S006,Michigan Hop Alliance (USA),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S007,Midwest Supplies inc (USA),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S008,Keg Logistics (USA),Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
S009,KFarm Inc.,Supplier,,,,,,,,,,,,,,,SAP Ariba,,,,
D001,Advance Beverage Co Inc,Distributor,,,,,,,,,,,,,,,Microsoft Dynamics,2020-02-01,,,
D002,Allied Beverages,Distributor,,,,,,,,,,,,,,,Microsoft Dynamics,2016-10-30,,,
D003,Atlas Distribution Inc,Distributor,,,,,,,,,,,,,,,Microsoft Dynamics,2015-11-01,,,
MD001,Summer Dunkel,MunichDunkel,,,,,,,,,,,,,,,SAP,,,,
MD002,Winter Dunkel,MunichDunkel,,,,,,,,,,,,,,,SAP,,,,
BSG001,Brewers Spent Grain,ByProduct,,,,,,,,,,,,,,,SAP,,,,
RB001,Smoky Rauch,RauchBier,,,,,,,,,,,,,,,SAP,,,,
RCP001_MD001_Water200HL,Water20HL,Ingredient,,,,,,,,,S001,RM001,2020-05-01,400,HL,WT01,SAP,,,,
RCP001_MD001_MunichMalt20T,MunichMalt20HL,Ingredient,,,,,,,,,S002,RM002,2020-06-20,30,T,W001,SAP,,,,
RCP001_MD001_VictoryMalt2T,VictoryMalt20HL,Ingredient,,,,,,,,,S003,RM003,2020-06-01,2,T,W001,SAP,,,,
RCP001_MD001_CarafaType2Malt2T,CarafaType2Malt20HL,Ingredient,,,,,,,,,S004,RM004,2020-06-02,2,T,W001,SAP,,,,
RCP001_MD001_TettnangHops140KG,Tettnang Hops RM005,Ingredient,,,,,,,,,S005,RM005,2020-06-15,200,KG,W002,SAP,,,,
RCP001_MD001_NuggetHops140KG,NuggetHops20HL,Ingredient,,,,,,,,,S006,RM006,2020-06-16,200,KG,W002,SAP,,,,
RCP001_MD001_WYeast40KG,WYeast20HL,Ingredient,,,,,,,,,S007,RM007,2020-06-20,100,KG,W002,SAP,,,,
RM008,50 L KEG RM008,Ingredient,,,,,,,,,S008,RM008,2020-06-01,1000,EA,W001,SAP,,,,
RM009,25 L KEG RM009,Ingredient,,,,,,,,,S009,RM009,2020-06-14,1000,EA,W001,SAP,,,,
RM010,RM010,Ingredient,,,,,,,,,S002,RM010,2020-06-29,10,T,W002,SAP,,,,
RM011,Pillsner Malt RM011,Ingredient,,,,,,,,,S004,RM011,2020-06-02,500,KG,W003,SAP,,,,
RM012,Farbemalz Malt RM012,Ingredient,,,,,,,,,S004,RM012,2020-06-02,500,KG,W004,SAP,,,,
P001,Pallet 001,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P002,Pallet 002,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P003,Pallet 003,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P004,Pallet 004,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P005,Pallet 005,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P006,Pallet 006,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P007,Pallet 007,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P008,Pallet 008,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P009,Pallet 009,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P010,Pallet 0010,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P011,Pallet 0011,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P012,Pallet 0012,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P013,Pallet 0013,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P014,Pallet 0014,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P015,Pallet 0015,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P016,Pallet 0016,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P017,Pallet 0017,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P018,Pallet 0018,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P019,Pallet 0019,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
P020,Pallet 0020,Pallet,Pallet,,,,,,,,,,,,,,Manhattan,,,,
TRK001,Truck 001,Truck,Truck,part_of,D002,Distributor,,,,,,,,,,,Manhattan,,,,
TRK002,Truck 002,Truck,Truck,part_of,D001,Distributor,,,,,,,,,,,Manhattan,,,,
TRK003,Truck 003,Truck,Truck,part_of,D002,Distributor,,,,,,,,,,,Manhattan,,,,
TRK004,Truck 004,Truck,Truck,part_of,D001,Distributor,,,,,,,,,,,,,,,
